,price,address
206,"€215,000 ","17 The Concert Building, Park West, Dublin 12"
207,"€740,000 ","30 Talbot Court, Castleknock, Dublin 15"
208,Final 2 Bedroom Homes Available ,"Marina Village Apartments, Marina Village Apartments, Greystones, Co. Wicklow"
209,New Phase Coming Soon ,"Silver Banks, Stamullen, Co. Meath"
210,New Development Coming Soon ,"Belin Woods, Athgarvan Road, Kilbelin, Newbridge, Co. Kildare"
211,New Development Coming Soon ,"Ravens Mill, Rolestown, Rolestown, Co. Dublin"
212,New Development Coming Soon ,"Riversend, Effernock, Trim, Co. Meath"
213,New Development Coming Soon - Register for further Information ,"Castleland Park, Balbriggan, Co. Dublin"
214,* New release of 3 & 4 bedroom Semi-Detached + Final 4 Bed Detached just released overlooking the ca ,"Ledwill Park, Ledwill Park, Kilcock, Co. Kildare"
215,Final 3 and 4 Bedroom Homes ,"Barnhall Meadows, Leixlip, Co. Kildare"
216,Final 3 and 4 Bedroom Homes ,"Barnhall Meadows, Leixlip, Co. Kildare"
217,"All Units Currently Sale Agreed, Register for Cancellations ","Oldbridge Manor, Drogheda, Co. Meath"
218,Final Remaining 3 Bedroom Bungalow Available ,"Ruxton Oaks, Blackcastle, Navan, Co. Meath"
219,"3 Bedroom Homes Available from €250,000 ","The Hawthorns , Arden Road, Tullamore, Co. Offaly"
220,New Development Coming Soon ,"Walker's Gate, Kildare, Co. Kildare"
221,"€199,000 ","373 The Sycamores, Kilnacourt Woods, Portarlington, Co. Laois"
222,Price on Application ,"Fuchsia Hill, Courtmacsherry, Co. Cork"
223,"€785,000 ","Cragmoher House, Cragmoher, Corofin, Ennis, Co. Clare"
224,"€295,000 ","84 Meadow View, Drogheda, Co. Louth"
225,"€350,000 ","26 Upper Beaumont Drive, Ballintemple, Ballintemple, Co. Cork"
226,"€275,000 ","10 Corr Na Meala, Birr, Co. Offaly"
227,"€315,000 ","John's Terrace, Birr, Co. Offaly"
228,"€725,000 ","6A Woodbine Road, Booterstown, Co. Dublin"
229,"€285,000 ","25 Woodhaven, Kilrush Road, Ennis, Co. Clare"
230,Price on Application ,"Seamount Rise, Malahide, Co. Dublin"
231,"€259,000 ","Cluainbán, 91 Abbey Court, Clare Road, Ennis, Co. Clare"
232,Price on Application ,"24 Grenville, Dublin Road, Portlaoise, Co. Laois"
233,"€385,000 ","2 Abbeyvale Court, Swords, Co. Dublin"
234,"€195,000 ","3C Haydens Lane, Main Street, Kinsale, Co. Cork"
235,"€295,000 ","""Rocketts of the Metalman"", Westtown, Tramore, Co. Waterford"
236,"€425,000 ","14 Saint Christophers Walk, Montenotte, Co. Cork"
237,"€245,000 ","20 Meadowvale, Coolcotts, Wexford Town, Co. Wexford"
238,"€865,000 ","70 St Alban's Park, Sandymount, Dublin 4"
239,"€450,000 ","Hillside, 12 Ballinahinch Terrace, Ashford, Co. Wicklow"
240,"€325,000 ","Liskeveen, Littleton, Thurles, Co. Tipperary"
241,"€549,000 ","Rathpatrick, Slieverue, Co. Kilkenny"
242,"€290,000 ","58 Sandygrove, Blackrock, Co. Louth"
243,"€595,000 ","Rere of 3, Charlemont Terrace, Dun Laoghaire, Co. Dublin"
244,"€395,000 ","Killoughter, Redhills, Co. Cavan"
245,"€335,000 ","24 Clochog, Oranmore, Co. Galway"
246,"€410,000 ","96 The Green, Coolroe Meadows, Ballincollig, Co. Cork"
247,"€330,000 ","27 Ros Mé­n, Tullyvarraga, Shannon, Co. Clare"
248,"€685,000 ","39 Grattan Park, Salthill, Co. Galway"
249,"€495,000 ","22 Main Road, Tallaght, Tallaght, Dublin 24"
250,"€720,000 ","169 Seapark, Malahide, Co. Dublin"
251,"€185,000 ","4 Saint Joseph's Avenue, Boyle, Co. Roscommon"
252,"€750,000 ","90 Castleknock Park, Castleknock, Dublin 15"
253,"4 Bedroom Homes, 2 Bedroom Apartments & Penthouses Launching in September ","Trimbleston, Trimbleston, Goatstown, Dublin 14"
254,"€390,000 ","Killaghy Street, Mullinahone, Co. Tipperary"
255,"€395,000 ","3 Millbrook, Rathmullan, Co. Donegal"
256,"€500,000 ","Moymore House, Moymore, Pallasgreen, Co. Limerick"
257,"Churchlands, Delgany, Co. Wicklow ","Churchlands, Churchlands, Delgany, Co. Wicklow"
258,"€400,000 ","Sandville House, Aghavoher, Ballyconnell, Co. Cavan"
259,"€325,000 ","Three Chimneys, Creamery Road, Piltown, Co. Kilkenny"
260,"€1,450,000 ","Yellowood, 18A Stillorgan Park Avenue, Blackrock, Co. Dublin"
261,"€1,150,000 ","Penthouse 72, Woodview, Blackrock, Co. Dublin"
262,"€495,000 ","An Cnocán, Ballyoshea, Kildimo, Co. Limerick"
263,Price on Application ,"Mercer Vale, Cherrywood, Co. Dublin"
264,"€379,000 ","8 Inis Órga, Curryclogh, Bandon, Co. Cork"
265,"€395,000 ","13 Pembroke Cottages, Dundrum, Dundrum, Dublin 14"
266,Price on Application ,"Ballinascorney, Brittas, Co. Dublin"
267,"€575,000 ","Castletown Manor, Cottlestown, Sligo, Co. Sligo"
268,"€225,000 ","14 Riverside, Portarlington, Co. Laois"
269,"€299,000 ","48 Gort Na Ri, Ennis, Co. Clare"
270,"From €287,000 ","Aughamore, Clane, Co. Kildare"
271,Price on Application ,"Whitethorn, Naas, Co. Kildare"
272,Price on Application ,"Hawkins Wood, Greystones, Co. Wicklow"
273,"From €825,000 ","Donnybrook Gardens, Dublin 4"
274,"From €300,000 ","Graydon, Newcastle, Co. Dublin"
275,"From €485,000 ","Archers Wood, Delgany, Co. Wicklow"
276,"€1,150,000 ","155 Vernon Avenue, Clontarf, Clontarf, Dublin 3"
277,"€685,000 ","22 The Spires, Donabate, Co. Dublin"
278,"€779,000 ","Drominagh Lodge, Drominagh, Ballinderry, Nenagh, Co. Tipperary"
279,"€185,000 ","Kylemore, Killimor, Co. Galway"
280,"€725,000 ","30 Trimleston Gardens, Booterstown, Co. Dublin"
281,"€349,000 ","Ballylee, Gort, Co. Galway"
282,"€225,000 ","Apartment 60, Mayeston Crescent, Saint Margaret's Road, Finglas, Dublin 11"
283,Price on Application ,"10 Apartments at Corn Mill, Drumcondra, Dublin 3"
284,"€275,000 ","23 Wolfe Tone Street, Kilkenny, Co. Kilkenny"
285,"AMV: €350,000 ","Two Derelict Cottages, Ounavarra, Coldblow, Lucan, Co. Dublin"
286,"€1,035,000 ","2 The Avenue, Cypress Downs, Templeogue, Dublin 6W"
287,"€195,000 ","Main Street, Aughnacliffe, Co. Longford"
288,"€525,000 ","73 Meadowbank, Bushy Park Road, Terenure, Dublin 6"
289,"€625,000 ","Rose Cottage, Rose Cottage, 10 Rochestown Ave, Dun Laoghaire, Co. Dublin"
290,"€425,000 ","22 Upper Glencairn, Riverstown, Glanmire, Co. Cork"
291,"€150,000 ","Apartment 15, Cartron Court, Sligo, Co. Sligo"
292,"€625,000 ","8 Wendell Avenue, Portmarnock, Co. Dublin"
293,"€365,000 ","Apartment 259, Asgard, Custom House Harbour Apartments, Dublin 1"
294,"€650,000 ","6 Foxbrook, Curraha Road, Ratoath, Co. Meath"
295,"€595,000 ","30 Clonliffe Road (plus Attic Conversion), Drumcondra, Dublin 3"
296,"€450,000 ","61 Church Avenue, Drumcondra, Dublin 9"
297,"€350,000 ","Rylinn, Ballintemple, Castlegar, Co. Galway"
298,"€795,000 ","Liwara, Shanganagh Road, Killiney, Co. Dublin"
299,"€600,000 ","Valley View Cottage, Barracurragh, Gorey, Co. Wexford"
300,"€3,750,000 ","Brentwood, Sydenham Road, Dundrum, Dublin 14"
301,"€2,500,000 ","Alma, Park, Wexford Town, Co. Wexford"
302,"€320,000 ","29 An Gleib, Ballivor, Co. Meath"
303,"€295,000 ","St Teresa's, Mail Coach Road, Sligo, Co. Sligo"
304,"€675,000 ","28 Springfield Crescent, Templeogue, Templeogue, Dublin 6W"
305,"€425,000 ","Ballinamore, Kiltimagh, Co. Mayo"
306,"€249,000 ","Miskaun Glebe, Aughnasheelan, Co. Leitrim"
307,Outstanding Living ,"Maydenhayes Cove, Mornington, Co. Meath"
308,"From €345,000 ","Gleann na Mona, Ballymoneen Road , Knocknacarra, Co. Galway"
309,"€220,000 ","The Quay, Thomastown, Co. Kilkenny"
310,"€575,000 ","Ballyvoole, Inistioge, Co. Kilkenny"
311,"€175,000 ","311 Cathedral Road, Gurranabraher, Co. Cork"
312,"€295,000 ","53 Belgard Downs, Rochestown Road, Douglas, Co. Cork"
313,"€310,000 ","9 Ballygarra Park, Garristown, Co. Dublin"
314,"€265,000 ","Saint Martins, Rigsdale, Ballinhassig, Co. Cork"
315,"€389,000 ","13A Auburn Villas, Athlone, Co. Westmeath"
